TRACK 14365864
15521705
08/01/2014
02:48:44
02:58:19
YVR
CPA889

B77W
J
7027
D

VHHH
08L
88
18015
5574
116276
193
1511,776,27,84,0
1750,758,59,84,2
2006,734,96,85,5
2276,702,137,86,8
2553,661,181,87,11
2835,612,227,88,14
3119,556,274,89,17
3405,495,320,90,20
3694,430,366,91,23
3985,363,411,93,26
4279,295,453,95,29
4577,228,491,97,32
4878,162,526,99,35
5182,97,558,101,38
5490,33,588,103,41
5803,-29,615,105,44
6120,-92,639,107,47
6442,-157,660,109,50
6769,-225,680,111,53
7101,-295,699,112,56
7438,-367,718,114,59
7781,-444,737,115,62
8129,-525,756,116,65
8483,-610,776,118,68
8842,-697,796,119,71
9207,-786,816,120,74
9577,-876,835,121,77
9952,-965,854,122,80
10333,-1052,873,123,83
10719,-1135,892,124,86
11110,-1214,911,125,89
11505,-1290,930,126,92
11904,-1363,949,127,95
12306,-1436,968,128,98
12710,-1513,987,130,101
13113,-1598,1006,132,104
13516,-1695,1025,134,107
13915,-1808,1044,135,110
14311,-1942,1064,136,113
14700,-2101,1085,137,116
15083,-2289,1108,138,119
15456,-2507,1132,139,122
15817,-2757,1158,140,125
16162,-3035,1186,141,128
16488,-3341,1215,142,131
16792,-3672,1246,143,134
17070,-4026,1278,143,137
17320,-4399,1313,143,140
17537,-4788,1349,143,143
17718,-5191,1386,143,146
17862,-5606,1425,143,149
17968,-6031,1465,143,152
18038,-6464,1507,143,155
18076,-6902,1549,143,158
18086,-7345,1591,143,161
18071,-7793,1633,143,164
18037,-8242,1675,143,167
17988,-8693,1717,143,170
17929,-9143,1758,143,173
17863,-9592,1799,143,176
17795,-10040,1837,143,179
17728,-10485,1874,143,182
17661,-10928,1909,143,185
17596,-11369,1944,143,188
17532,-11809,1977,143,191
17469,-12248,2010,144,194
17409,-12687,2043,144,197
17349,-13125,2076,145,200
17289,-13565,2109,145,203
17230,-14007,2143,145,206
17170,-14451,2177,145,209
17110,-14897,2212,145,212
17050,-15346,2249,145,215
16988,-15797,2287,145,218
16923,-16249,2326,145,221
16852,-16703,2365,145,224
16774,-17156,2405,145,227
16687,-17607,2444,145,230
16590,-18056,2483,145,233
16481,-18501,2522,145,236
16357,-18942,2561,146,239
16218,-19377,2599,146,242
16063,-19806,2636,146,245
15894,-20228,2671,146,248
15710,-20645,2706,146,251
15514,-21058,2739,146,254
15306,-21468,2772,146,257
15090,-21874,2805,146,260
14865,-22277,2837,146,263
14635,-22679,2869,146,266
14399,-23079,2900,146,269
14160,-23478,2931,146,272
13915,-23872,2962,146,275
13663,-24261,2993,147,278
13401,-24641,3024,148,281
13126,-25010,3053,149,284
12835,-25365,3081,150,287
12525,-25703,3108,151,290
12193,-26019,3133,152,293
11836,-26310,3155,153,296
11453,-26574,3175,155,299
11043,-26809,3193,156,302
10609,-27013,3209,157,305
10152,-27184,3222,158,308
9676,-27320,3235,159,311
9186,-27419,3246,160,314
8685,-27481,3257,162,317
8177,-27506,3269,164,320
7668,-27490,3281,166,323
7160,-27434,3293,168,326
6656,-27339,3305,170,329
6157,-27205,3319,172,332
5664,-27035,3334,173,335
5176,-26835,3350,174,338
4691,-26609,3367,175,341
4208,-26363,3384,176,344
3724,-26102,3401,177,347
3239,-25831,3418,178,350
2751,-25554,3435,179,353
2259,-25277,3452,180,356
1761,-25002,3469,181,359
1257,-24731,3487,182,362
747,-24464,3505,183,365
234,-24199,3523,184,368
-282,-23936,3541,185,371
-800,-23671,3559,186,374
-1321,-23405,3577,187,377
-1842,-23134,3597,188,380
-2362,-22856,3617,189,383
-2880,-22571,3639,190,386
-3396,-22278,3662,191,389
-3909,-21976,3687,192,392
-4419,-21666,3713,193,395
-4926,-21350,3740,194,398
-5431,-21027,3768,194,401
-5935,-20699,3797,195,404
-6438,-20367,3827,195,407
-6941,-20031,3858,196,410
-7444,-19693,3889,196,413
-7947,-19354,3920,197,416
-8450,-19014,3951,198,419
-8953,-18673,3982,198,422
-9457,-18331,4014,199,425
-9961,-17988,4046,199,428
-10466,-17643,4078,200,431
-10972,-17297,4110,200,434
-11479,-16950,4142,200,437
-11987,-16601,4175,200,440
-12496,-16251,4208,200,443
-13007,-15899,4241,200,446
-13518,-15544,4274,200,449
-14030,-15188,4307,200,452
-14543,-14831,4340,200,455
-15056,-14473,4373,200,458
-15569,-14114,4405,200,461
-16082,-13755,4437,200,464
-16595,-13395,4469,200,467
-17108,-13036,4501,200,470
-17620,-12678,4533,200,473
-18131,-12321,4565,200,476
-18642,-11965,4597,201,479
-19153,-11610,4628,202,482
-19664,-11257,4659,203,485
-20175,-10903,4690,204,488
-20686,-10550,4720,205,491
-21197,-10197,4750,205,494
-21709,-9843,4780,205,497
-22223,-9488,4810,205,500
-22739,-9131,4840,205,503
-23257,-8773,4870,205,506
-23778,-8414,4900,205,509
-24302,-8053,4930,205,512
-24827,-7691,4960,205,515
-25355,-7328,4990,205,518
-25883,-6965,5020,205,521
-26411,-6601,5049,205,524
-26939,-6237,5078,205,527
-27467,-5873,5107,205,530
-27995,-5511,5136,205,533
-28520,-5150,5165,205,536
-29043,-4791,5194,206,539
-29564,-4434,5222,207,542
-30085,-4078,5250,208,545
-30606,-3722,5278,209,548
-31128,-3365,5305,210,551
-31651,-3006,5332,211,554
-32178,-2646,5357,212,557
-32708,-2282,5382,213,560
-33243,-1914,5406,214,563
-33784,-1542,5428,215,566
-34331,-1166,5449,216,569
-34883,-786,5470,216,572
-35439,-407,5491,216,575
